cliente_nombre;cliente_email;cliente_telefono;mascota_nombre;mascota_especie;mascota_raza;mascota_nacimiento
Manuel Gomez;manuel.gomez1@gmail.com;655113455;Simba;Conejo;Belier;22/12/2019
Natalia Rodriguez;natalia.rodriguez33@hotmail.com;657848103;Coco;Ave;Periquito;13/5/2015
Raul Perez;raul.perez33@gmail.com;694579986;Bimba;Gato;Maine Coon;26/1/2020
Raul Gonzalez;raul.gonzalez80@yahoo.es;632871398;Leo;Gato;Bengala;9/11/2019
Fernando Garcia;fernando.garcia5@hotmail.com;674241707;Noa;Gato;Común Europeo;26/12/2015
Hector Gomez;hector.gomez45@yahoo.es;646335698;Leo;Conejo;Cabeza de León;23/6/2019
Tomas Martin;tomas.martin8@outlook.com;612956808;Luna;Ave;Canario;14/2/2024
Zoe Lopez;zoe.lopez9@hotmail.com;677511008;Mia;Gato;Maine Coon;8/3/2019
Carlos Gonzalez;carlos.gonzalez1@gmail.com;683371164;Mia;Conejo;Cabeza de León;18/3/2018
Tomas Gonzalez;tomas.gonzalez42@outlook.com;689560705;Luna;Ave;Loro;4/7/2018
Zoe Martinez;zoe.martinez84@gmail.com;666723502;Leo;Conejo;Enano;3/9/2024
Irene Lopez;irene.lopez99@hotmail.com;684549751;Max;Conejo;Enano;23/6/2021
Manuel Fernandez;manuel.fernandez94@gmail.com;654028729;Bruno;Perro;Caniche;5/3/2023
Elena Rodriguez;elena.rodriguez66@gmail.com;630142235;Thor;Gato;Común Europeo;25/2/2015
Gloria Rodriguez;gloria.rodriguez75@gmail.com;630227339;Max;Perro;Mestizo;11/4/2021
Gloria Lopez;gloria.lopez36@gmail.com;668773741;Simba;Perro;Mestizo;27/11/2018
Manuel Martinez;manuel.martinez89@gmail.com;620022279;Simba;Perro;Mestizo;11/11/2019
Beatriz Rodriguez;beatriz.rodriguez51@outlook.com;638692095;Bruno;Perro;Mestizo;1/3/2019
Oscar Lopez;oscar.lopez22@hotmail.com;658881851;Zeus;Conejo;Cabeza de León;25/1/2015
Natalia Perez;natalia.perez58@hotmail.com;616131054;Rocky;Ave;Canario;11/3/2018
Hernan Vazquez;hernan@gmail.com;678786054;Pepe;Perro;presa canaria;2025-11-19
Manuel;manuel@gmail.com;657483923;Popi;Perro;perro presa caniaro;2025-11-19
